Type of Dwelling,Total,,,,1 Person,,,,2 Persons,,,,3 Persons,,,,4 Persons,,,,5 Persons,,,,6 or More Persons,,,
,Total,Owner-Occupied,Rented,Others,Total,Owner-Occupied,Rented,Others,Total,Owner-Occupied,Rented,Others,Total,Owner-Occupied,Rented,Others,Total,Owner-Occupied,Rented,Others,Total,Owner-Occupied,Rented,Others,Total,Owner-Occupied,Rented,Others
Total,1372559,1206030,152123,14407,220270,155239,58703,6327,309754,266809,39391,3555,280544,257975,20844,1724,275594,259105,15180,1310,163466,152115,10419,932,122931,114786,7587,558
HDB Dwellings,1080088,963641,108848,7598,177492,127245,46290,3957,255105,223495,29769,1841,229542,213863,14839,839,214753,205133,9174,446,118034,112696,4975,363,85162,81210,3801,151
1- and 2-Room Flats1/,88814,33556,54980,278,37037,17243,19559,236,28443,10958,17443,43,12045,3375,8670,-,5629,1011,4618,-,3171,665,2506,-,2489,304,2184,-
3-Room Flats,242388,224715,15451,2222,64233,56189,6886,1159,72696,68196,3985,515,50949,48382,2318,249,32029,30409,1427,192,14126,13421,597,108,8356,8118,238,-
4-Room Flats,434277,408046,23292,2938,51631,37477,12644,1510,97417,91318,5382,717,100417,97870,2193,354,97929,96205,1563,160,50995,50029,836,130,35888,35147,673,68
5-Room and Executive Flats,314609,297325,15125,2159,24591,16336,7202,1053,56549,53024,2958,567,66131,64236,1658,237,79167,77508,1565,94,49743,48581,1036,125,38429,37640,705,83
Condominiums and Other Apartments,220102,179647,35514,4942,36776,24762,10134,1880,44484,34916,8389,1179,39277,33493,5075,709,47175,41475,5122,577,32626,27861,4388,377,19765,17140,2406,219
Landed Properties,68425,61029,5776,1620,4184,2621,1222,341,9133,7936,737,459,11145,10289,687,169,13486,12377,829,280,12585,11435,967,183,17893,16371,1334,188
Bungalows,8930,7693,922,315,421,292,81,48,673,515,74,83,1341,1147,152,42,1625,1464,112,49,1627,1424,192,11,3243,2850,312,82
Semi-Detached Bungalows,20683,18424,1731,528,1087,658,292,137,2852,2482,237,133,3268,3031,196,42,4144,3736,328,80,3789,3379,339,70,5543,5138,340,65
Terrace Houses,38813,34912,3124,777,2675,1671,849,155,5608,4939,426,243,6535,6111,340,85,7717,7177,390,151,7170,6632,436,101,9107,8384,683,41
Others ,3944,1712,1985,247,1818,612,1057,149,1033,462,496,75,581,331,243,7,180,120,54,6,221,123,88,10,111,65,46,-
